label,x,y,z,dwell_time_s,radius_mm,voltage_v,current_a,shape,width_mm,height_mm,repeats,num_rings,angle_deg
P1_R1C1,0.000,0.000,0.000,30.0,4.0,13.40,1.95,line,10.0,,1,5,0.0
P1_R1C2,9.000,0.000,0.000,30.0,4.0,13.40,1.95,line,10.0,,1,5,0.0
P1_R1C3,18.000,0.000,0.000,30.0,4.0,13.40,1.95,line,10.0,,1,5,0.0
P1_R1C4,27.000,0.000,0.000,30.0,4.0,13.40,1.95,line,10.0,,1,5,0.0
P1_R1C5,36.000,0.000,0.000,30.0,4.0,13.40,1.95,line,10.0,,1,5,0.0
P1_R1C6,45.000,0.000,0.000,30.0,4.0,13.40,1.95,line,10.0,,1,5,0.0
P1_R2C1,0.000,9.000,0.000,30.0,4.0,13.40,1.95,line,10.0,,1,5,0.0
P1_R2C2,9.000,9.000,0.000,30.0,4.0,13.40,1.95,line,10.0,,1,5,0.0
P1_R2C3,18.000,9.000,0.000,30.0,4.0,13.40,1.95,line,10.0,,1,5,0.0
P1_R2C4,27.000,9.000,0.000,30.0,4.0,13.40,1.95,line,10.0,,1,5,0.0
P1_R2C5,36.000,9.000,0.000,30.0,4.0,13.40,1.95,line,10.0,,1,5,0.0
P1_R2C6,45.000,9.000,0.000,30.0,4.0,13.40,1.95,line,10.0,,1,5,0.0
P1_R3C1,0.000,18.000,0.000,30.0,4.0,13.40,1.95,line,10.0,,1,5,0.0
P1_R3C2,9.000,18.000,0.000,30.0,4.0,13.40,1.95,line,10.0,,1,5,0.0
P1_R3C3,18.000,18.000,0.000,30.0,4.0,13.40,1.95,line,10.0,,1,5,0.0
P1_R3C4,27.000,18.000,0.000,30.0,4.0,13.40,1.95,line,10.0,,1,5,0.0
P1_R3C5,36.000,18.000,0.000,30.0,4.0,13.40,1.95,line,10.0,,1,5,0.0
P1_R3C6,45.000,18.000,0.000,30.0,4.0,13.40,1.95,line,10.0,,1,5,0.0
P1_R4C1,0.000,27.000,0.000,30.0,4.0,13.40,1.95,line,10.0,,1,5,0.0
P1_R4C2,9.000,27.000,0.000,30.0,4.0,13.40,1.95,line,10.0,,1,5,0.0
P1_R4C3,18.000,27.000,0.000,30.0,4.0,13.40,1.95,line,10.0,,1,5,0.0
P1_R4C4,27.000,27.000,0.000,30.0,4.0,13.40,1.95,line,10.0,,1,5,0.0
P1_R4C5,36.000,27.000,0.000,30.0,4.0,13.40,1.95,line,10.0,,1,5,0.0
P1_R4C6,45.000,27.000,0.000,30.0,4.0,13.40,1.95,line,10.0,,1,5,0.0
