label,x,y,z,dwell_time_s,radius_mm,voltage_v,current_a,shape,width_mm,height_mm,repeats,num_rings,angle_deg
P1_R1C1,0.000,0.000,0.000,30.0,4.0,13.40,1.95,line,7.0,,1,5,45.0
P1_R1C2,12.000,0.000,0.000,30.0,4.0,13.40,1.95,line,7.0,,1,5,45.0
P1_R1C3,24.000,0.000,0.000,30.0,4.0,13.40,1.95,line,7.0,,1,5,45.0
P1_R1C4,36.000,0.000,0.000,30.0,4.0,13.40,1.95,line,7.0,,1,5,45.0
P1_R1C5,48.000,0.000,0.000,30.0,4.0,13.40,1.95,line,7.0,,1,5,45.0
P1_R1C6,60.000,0.000,0.000,30.0,4.0,13.40,1.95,line,7.0,,1,5,45.0
P1_R2C1,0.000,12.000,0.000,30.0,4.0,13.40,1.95,line,7.0,,1,5,45.0
P1_R2C2,12.000,12.000,0.000,30.0,4.0,13.40,1.95,line,7.0,,1,5,45.0
P1_R2C3,24.000,12.000,0.000,30.0,4.0,13.40,1.95,line,7.0,,1,5,45.0
P1_R2C4,36.000,12.000,0.000,30.0,4.0,13.40,1.95,line,7.0,,1,5,45.0
P1_R2C5,48.000,12.000,0.000,30.0,4.0,13.40,1.95,line,7.0,,1,5,45.0
P1_R2C6,60.000,12.000,0.000,30.0,4.0,13.40,1.95,line,7.0,,1,5,45.0
P1_R3C1,0.000,24.000,0.000,30.0,4.0,13.40,1.95,line,7.0,,1,5,45.0
P1_R3C2,12.000,24.000,0.000,30.0,4.0,13.40,1.95,line,7.0,,1,5,45.0
P1_R3C3,24.000,24.000,0.000,30.0,4.0,13.40,1.95,line,7.0,,1,5,45.0
P1_R3C4,36.000,24.000,0.000,30.0,4.0,13.40,1.95,line,7.0,,1,5,45.0
P1_R3C5,48.000,24.000,0.000,30.0,4.0,13.40,1.95,line,7.0,,1,5,45.0
P1_R3C6,60.000,24.000,0.000,30.0,4.0,13.40,1.95,line,7.0,,1,5,45.0
P1_R4C1,0.000,36.000,0.000,30.0,4.0,13.40,1.95,line,7.0,,1,5,45.0
P1_R4C2,12.000,36.000,0.000,30.0,4.0,13.40,1.95,line,7.0,,1,5,45.0
P1_R4C3,24.000,36.000,0.000,30.0,4.0,13.40,1.95,line,7.0,,1,5,45.0
P1_R4C4,36.000,36.000,0.000,30.0,4.0,13.40,1.95,line,7.0,,1,5,45.0
P1_R4C5,48.000,36.000,0.000,30.0,4.0,13.40,1.95,line,7.0,,1,5,45.0
P1_R4C6,60.000,36.000,0.000,30.0,4.0,13.40,1.95,line,7.0,,1,5,45.0
